2020-03-06 20:22:24 DEBUG ResourceBundleMessageInterpolator:89 - Loaded expression factory via original TCCL
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/config/application-default.yaml for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/config/application.yaml for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/application-default.properties for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/application-default.properties for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/application-default.xml for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/application-default.xml for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/application.xml for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/application-default.yml for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/application-default.yml for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/application.yml for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/application-default.yaml for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/application-default.yaml for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/application.yaml for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./config/application.properties' (file:./config/application.properties)
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./config/application.xml' (file:./config/application.xml)
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./config/application.yml' (file:./config/application.yml)
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./config/application.yaml' (file:./config/application.yaml)
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./application.properties' (file:./application.properties)
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./application.xml' (file:./application.xml)
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./application.yml' (file:./application.yml)
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./application.yaml' (file:./application.yaml)
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/config/application.properties
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/config/application.xml
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/config/application.yml
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/config/application.yaml
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/application.xml
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/application.yml
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/application.yaml
